time,open,high,low,close,volume
2020-10-15,267.6000,269.0400,263.6700,266.7200,15416064
2020-10-14,277.6200,278.7500,271.5000,271.8200,15601154
2020-10-13,277.5800,279.1000,273.3900,276.1400,18063343
2020-10-12,270.2000,280.1800,267.8700,275.7500,31019256
2020-10-09,264.5200,264.7500,262.1700,264.4500,14107803
2020-10-08,259.7500,264.6200,259.1488,263.7600,16312762
2020-10-07,259.2100,260.1800,254.8200,258.1200,23133417
2020-10-06,261.7800,265.6900,258.2400,258.6600,18696917
2020-10-05,262.2000,264.8650,260.8401,264.6500,12822252
2020-10-02,261.2100,265.1500,259.1800,259.9400,16367597
2020-10-01,265.3500,268.3300,264.8000,266.6300,20009801
2020-09-30,261.9800,266.0850,260.1000,261.9000,20142546
2020-09-29,257.8100,263.3300,256.9000,261.7900,20215504
2020-09-28,259.4000,259.6000,254.8208,256.8200,18826254
2020-09-25,249.4000,255.7500,246.6100,254.8200,18351311
2020-09-24,246.5000,252.2400,245.6200,249.5300,20006750
2020-09-23,255.2600,257.9921,248.1500,249.0200,19641266
2020-09-22,253.3100,255.3200,248.2200,254.7500,30293103
2020-09-21,247.5400,249.9500,244.1300,248.1500,24709378
2020-09-18,258.4050,259.2000,250.0500,252.5300,28130767
2020-09-17,258.2800,261.5000,250.1900,254.8200,31281441
2020-09-16,267.2900,272.4400,261.7900,263.5200,29207594
2020-09-15,270.6700,274.5200,269.3000,272.4200,18478530
2020-09-14,270.9500,276.6400,265.7000,266.1500,24093830
2020-09-11,270.0600,271.3900,262.6400,266.6100,18913883
2020-09-10,275.5100,279.1600,267.0319,268.0900,24814669
2020-09-09,275.7700,278.4800,271.3500,273.7200,22918769
2020-09-08,271.2800,279.3000,269.4200,271.1600,24863997
2020-09-04,287.2500,289.0000,271.1400,282.7300,30333671
2020-09-03,295.9900,297.6000,283.6300,291.1200,32294092
2020-09-02,298.8800,303.6000,293.0500,302.5000,24341369
2020-09-01,294.7100,301.4900,292.7100,295.4400,17320872
2020-08-31,293.9500,296.8800,291.5500,293.2000,17345134
2020-08-28,295.0000,297.2300,290.9800,293.6600,17172415
2020-08-27,300.1600,301.2300,292.0200,293.2200,30301309
2020-08-26,284.0000,304.6700,284.0000,303.9100,69015151
2020-08-25,272.4100,283.0900,270.2601,280.8200,42127240
2020-08-24,271.0700,277.2478,268.7701,271.3900,23685603
2020-08-21,268.6900,270.4900,266.4200,267.0100,15538615
2020-08-20,261.5000,269.6300,261.4600,269.0100,20299688
2020-08-19,261.3880,267.9080,261.3500,262.5900,23291463
2020-08-18,260.9500,265.1500,259.2600,262.3400,18690383
2020-08-17,262.5000,264.0973,259.4000,261.1600,13303174
2020-08-14,262.3050,262.6500,258.6801,261.2400,14792708
2020-08-13,261.5500,265.1600,259.5700,261.3000,17373970
2020-08-12,258.9700,263.8973,258.1125,259.8900,21428329
2020-08-11,260.1850,265.9150,255.1300,256.1300,28238283
2020-08-10,268.0400,273.8600,259.6900,263.0000,30248826
2020-08-07,264.0800,278.8900,263.4300,268.4400,72766364
2020-08-06,249.0400,266.6000,248.6650,265.2800,45241611
2020-08-05,250.1900,252.2698,247.7700,249.1200,13088361
2020-08-04,251.5600,252.8000,247.4300,249.8300,17183533
2020-08-03,252.6500,255.4000,250.3300,251.9600,23134103
2020-07-31,255.8200,255.8500,249.0000,253.6700,53030037
2020-07-30,230.2200,234.8930,229.0000,234.5000,20615306
2020-07-29,231.1400,233.7000,230.3100,233.2900,13588317
2020-07-28,234.6300,234.9600,229.8300,230.1200,14170112
2020-07-27,231.4600,234.9500,230.8300,233.5000,13163083
2020-07-24,230.1900,233.4900,226.9000,230.7100,18325813
2020-07-23,239.6300,242.4200,231.7500,232.6000,21771802
